STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SEX_POPES_SUB_006,Sex,AGE_POPES_SUB_006,Age,YEAR_POPES_SUB_006,Year at 30 June,AREA_POPES_SUB_006,Area,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2015,2015,031,Napier City,61400,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2019,2019,029,Wairoa District,8720,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2016,2016,030,Hastings District,81600,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2025,2025,016,Hamilton City,192100,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2021,2021,057,Westland District,8870,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2022,2022,024,Rotorua District,75900,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,070,Queenstown-Lakes District,42500,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2018,2018,012,Hauraki District,20700,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2020,2020,026,Kawerau District,7530,
DATAFLOW,STATSNZ:POPES_SUB_006(1.0),"Subnational population estimates (TALB, SA3, SA2), by age and sex, at 30 June 1996-2025 (2025 boundaries)",I,3,"Total people, sex",999999,"Total people, age",2023,2023,039,Manawatu District,33200,
